x1 (long),y1 (lat)
3.84710525,6.919354066
3.881551418,6.916478988
3.894728812,6.879102976
3.871148213,6.787100484
3.804336518,6.63088792
3.852884809,6.692222914
3.923857786,6.759308065
4.021879096,6.866644305
4.052626347,6.88676985
4.013787715,6.902103599
4.001303868,6.906895395
3.92524488,6.906895395
3.931024438,6.972063827
3.931024438,6.972063827
3.884787971,6.877186257
3.865137473,6.876227898
3.908368569,7.010398198
4.023497373,6.538885428
4.264851731,6.32133787
4.408184779,6.582969955
4.492566332,6.580094878
4.496958796,6.581053237
4.506437272,6.598303704
4.508980278,6.618429249
4.609082229,6.469883559
4.900834337,6.50917629
5.125543567,6.371172553
5.145194066,6.337629978
5.166231659,6.268628109
5.227263795,5.272892808
5.19212408,4.291532896
5.207150932,3.525803824
5.212236943,3.199003306
5.226339066,2.120849106
5.406661288,1.6713786
5.687316644,2.00872107
5.864402313,1.692462504
6.068305133,1.880300925
6.259955289,2.066222627
6.543847198,2.020221381
6.48466452,1.987637165
6.576212725,2.186975897
6.652040531,2.306770808
6.792599391,2.352772054
6.792599391,2.352772054
6.836292853,2.262686281
6.973152795,2.294312138
7.118797667,2.368105803
7.349055273,2.659447027
7.500017339,3.029373712
7.596420373,2.908620442
7.673635273,2.753366237
7.673635273,2.753366237
7.826215615,2.734199051
8.106177423,2.744741003
8.144553691,2.616320859
8.322332907,2.738032488
8.6522301,2.672864057
8.873240413,2.723657099
9.122917336,2.930662705
9.440793048,2.88466146
9.677754942,2.97858067
9.851141694,3.048540898
9.86362554,2.960371843
9.86362554,2.960371843
9.942458717,3.440509847
9.937603888,3.67914131
9.937603888,3.67914131
10.21479151,3.84110403
10.1886679,3.724184197
10.1625443,3.796061143
10.1625443,3.796061143
10.02452845,3.821936844
10.00325967,3.785519191
10.111453,3.695433418
10.23051191,3.321673295
10.41129649,3.19421151
10.57659186,3.346590637
10.62236597,3.405050553
10.88984393,3.59863913
10.93561803,3.916814414
10.9804674,4.314533519
10.96705883,4.47457952
10.96705883,4.47457952
10.96705883,4.47457952
11.1859885,5.405146389
